filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
000000137809.jpg,145667,"{""width"":640,""height"":480}",1,0,"{""name"":""polygon"",""all_points_x"":[295.33,294.95,295.33,296.04,296.81,297.71,298.81,299.67,300.14,301.1,301.57,302.34,303,303.67,304.48,305.2,306.01,306.44,306.58,306.53,306.53,307.15,304,303.53,302.38,301.86,301.29,300.72,300.86,301.38,301.81,301.72,301.19,300.33,299.86,299.62,299.52,298.76,297.43,297.47,297.52,297.76,298,297.9,297.66,296.19],""all_points_y"":[459.7,457.99,456.65,456.37,457.99,458.7,458.51,458.46,458.37,458.37,458.37,458.61,458.8,459.04,459.66,459.85,459.94,460.04,460.61,462.52,463.56,464.85,465.19,464.18,464.09,465.04,465.52,464.52,463.95,463.56,463.28,462.61,462.47,462.71,463.23,463.8,464.95,465.57,464.57,463.56,463.23,462.61,462.09,461.28,460.61,460.56]}","{""category"":""dog""}"
000000007125.jpg,226174,"{""width"":640,""height"":471}",1,0,"{""name"":""polygon"",""all_points_x"":[378.96,382.1,383.98,389.68,390.45,390.36,390.45,390.96,390.79,390.96,390.1,389.42,389.34,389.08,387.89,387.38,385,385.42,385.25,385.25,383.98,383.89,383.81,383.72,382.53,381.76,380.57,380.49,380.15,379.72,378.96,378.53,378.19,377.93,377.93,377.68,378.19,378.7],""all_points_y"":[263.15,259.91,259.15,258.81,260.59,262.72,263.4,264.76,266.81,267.32,267.66,267.57,267.23,265.1,263.32,263.06,263.74,264.93,267.57,267.91,268.17,268,265.87,265.02,264.17,263.91,264.68,265.87,266.29,267.83,267.83,266.98,266.21,265.61,264.51,263.66,263.15,263.4]}","{""category"":""dog""}"
000000030611.jpg,165510,"{""width"":480,""height"":640}",1,0,"{""name"":""polygon"",""all_points_x"":[164.83,157.1,150.66,144.23,139.07,137.79,139.07,139.07,141.65,145.51,140.36,136.5,149.38,151.95,154.53,164.83,171.27,172.56,172.56,171.27,164.83,162.25,172.56,177.71,193.16,203.46,213.76,216.34,218.91,212.47,218.91,224.06,231.79,236.94,236.94,239.52,252.39,253.68,247.24,236.94,231.79,227.93,225.35,209.9,203.46,207.32,215.05,218.91,226.64,229.22,233.08,234.37,231.79,213.76,211.19,207.32,193.16,185.43,184.14,177.71,175.13,169.98,169.98,175.13,176.42,175.13,173.84,164.83],""all_points_y"":[623.44,600.26,578.37,557.77,538.45,525.58,513.99,501.11,481.79,461.19,439.3,414.83,414.83,419.98,417.41,400.67,390.37,381.35,364.61,358.17,367.19,351.73,341.43,338.86,338.86,334.99,338.86,347.87,356.88,383.93,391.65,404.53,416.12,450.89,475.35,486.94,512.7,524.29,532.01,520.43,512.7,497.25,486.94,485.66,495.96,512.7,525.58,547.47,584.81,596.4,610.57,619.58,628.59,619.58,610.57,584.81,570.65,564.21,555.19,553.91,562.92,570.65,584.81,601.55,617,626.02,626.02,622.16]}","{""category"":""dog""}"
000000504194.jpg,120969,"{""width"":640,""height"":480}",1,0,"{""name"":""polygon"",""all_points_x"":[486.84,498.28,501.5,512.58,525.8,532.95,534.38,527.23,520.44,517.22,517.22,508.65,505.07,508.65,508.65,506.5,499,492.2,487.2,484.34,477.91,469.69,465.76,460.75,451.46,440.02,428.95,416.44,408.22,407.14,406.07,398.92,393.56,391.78,393.92,397.85,402.14,405.71,410.72,415.36,420.01,420.37,416.44,417.87,418.58,418.58,418.58,418.22,417.15,417.15,415.36,413.22,408.93,412.15,419.65,422.15,426.09,427.52,431.09,432.16,434.66,442.53,444.31,450.03,450.75,450.75,448.96,455.75,452.89,449.32,445.39,441.81,443.24,450.39,455.75,458.25,461.11,467.54,471.83,473.26,474.69,474.69,476.12,481.13,482.2,487.2,490.42,490.06],""all_points_y"":[350.33,341.76,339.97,342.83,342.47,339.26,333.18,331.04,328.18,330.68,334.61,333.54,330.68,323.17,316.02,308.52,306.73,305.66,304.23,304.23,291.72,279.21,272.78,264.56,255.98,238.11,232.39,234.54,240.26,244.54,247.05,249.91,252.05,252.05,257.77,265.63,266.35,266.35,266.35,267.06,277.07,278.5,289.22,299.94,308.88,315.67,322.46,329.61,333.18,334.61,342.83,348.19,351.76,355.34,353.19,348.55,341.4,338.54,332.46,328.18,326.39,333.89,334.61,339.61,339.61,341.4,345.33,354.62,356.77,362.84,365.7,367.13,374.28,371.78,369.28,369.28,375,375,374.28,372.14,366.78,358.55,356.05,361.77,363.92,365.35,360.7,353.91]}","{""category"":""dog""}"
000000271359.jpg,61596,"{""width"":267,""height"":400}",2,0,"{""name"":""polygon"",""all_points_x"":[106.67,106.67,103.43,103.43,113.13,117.98,121.21,121.21,119.6,117.98,111.52,109.9,109.09],""all_points_y"":[255.35,240.81,227.88,214.95,210.1,211.72,234.34,246.46,256.97,256.97,251.31,253.74,255.35]}","{""category"":""dog""}"
000000271359.jpg,61596,"{""width"":267,""height"":400}",2,1,"{""name"":""polygon"",""all_points_x"":[236.55,242.65,242.09,244.31,247.64,247.64,238.21,235.44,233.22,232.11,228.78,222.12,216.58,211.03,214.91,214.36,222.68,225.45,225.45,226.01,228.78,229.89,230.44,229.89,236.55,233.77,239.32,240.43,236.55,235.99],""all_points_y"":[260.16,264.6,277.36,284.57,284.01,256.28,241.86,224.67,222.45,231.32,234.1,232.99,231.88,232.43,242.42,248.52,252.4,262.94,269.04,272.92,272.92,270.15,275.7,280.13,277.36,265.71,277.91,275.14,263.49,260.16]}","{""category"":""dog""}"
000000456825.jpg,215472,"{""width"":500,""height"":500}",1,0,"{""name"":""polygon"",""all_points_x"":[142.55,148.06,147.21,160.34,182.37,198.47,213.29,219.65,212.02,193.38,183.22,177.29,172.63,203.55,198.89,187.88,163.73,150.18],""all_points_y"":[327.79,321.01,312.54,290.94,276.96,276.54,286.7,299.83,301.95,302.38,304.92,309.15,314.24,325.25,334.15,340.08,338.38,332.45]}","{""category"":""dog""}"
000000423410.jpg,37433,"{""width"":500,""height"":202}",2,0,"{""name"":""polygon"",""all_points_x"":[449.55,453.3,464.84,467.96,465.78,463.59,457.66,452.36,442.53,437.38,432.39,430.2,429.27,429.42,429.27,427.08,428.8,430.36,430.36,429.58,427.39,425.52,419.9,419.75,426.46,445.96,450.49],""all_points_y"":[124.91,119.13,114.76,109.77,100.41,93.7,92.45,91.05,86.99,86.52,87.3,89.64,92.29,94.63,101.03,101.5,102.12,105.4,106.65,107.9,109.46,118.82,123.03,125.84,126.62,126.62,125.37]}","{""category"":""dog""}"
000000423410.jpg,37433,"{""width"":500,""height"":202}",2,1,"{""name"":""polygon"",""all_points_x"":[75.03,58.91,52.37,43.3,44.31,43.3,38.27,35.75,76.03,84.59,87.11,86.61,86.61,84.59],""all_points_y"":[68.1,68.1,60.05,74.14,91.26,105.36,115.94,121.48,122.99,126.01,111.4,84.72,69.11,64.07]}","{""category"":""dog""}"
000000203292.jpg,146895,"{""width"":332,""height"":500}",1,0,"{""name"":""polygon"",""all_points_x"":[175.85,178.88,180.64,187.71,189.48,190.87,191,193.14,192.39,191.88,191.88,187.71,188.22,191,190.87,188.72,188.98,192.01,194.41,195.54,195.42,197.56,195.67,193.78,191.63,188.72,188.09,186.07,183.93,183.42,181.53,178.62,174.71,175.47,176.35],""all_points_y"":[201.84,202.22,200.2,200.7,202.47,204.62,207.14,208.41,210.8,211.31,214.09,215.86,218,219.52,225.7,226.59,232.52,234.54,235.3,236.94,243.51,247.17,249.19,249.31,247.17,247.42,246.16,246.03,243.51,241.36,239.47,239.47,237.07,201.97,201.97]}","{""category"":""dog""}"
000000147787.jpg,58461,"{""width"":640,""height"":426}",3,0,"{""name"":""polygon"",""all_points_x"":[293.73,290.3,278.27,243.06,203.55,174.35,146.87,120.24,115.95,76.44,78.16,85.03,95.33,123.68,144.29,177.79,166.62,156.31,154.6,157.17,157.17,187.23,203.55,224.17],""all_points_y"":[421.81,355.67,289.54,238.01,197.64,179.6,180.46,192.49,203.65,224.27,232,242.3,247.46,254.33,247.46,286.1,288.68,323.89,350.52,377.14,406.35,402.91,417.51,420.95]}","{""category"":""dog""}"
